Order ID,Date,Product Name,Category,Region,Units Sold, Unit Price , Revenue , Cost , Profit ,Profit Margin
ORD1019,12-06-2025,Monitor,Accessories,East,8," ? 1,523.00 "," ? 12,184.00 "," ? 7,487.99 "," ? 4,696.01 ",38.54
ORD1020,07-01-2025,Monitor,Accessories,Central,11," ? 3,873.00 "," ? 42,603.00 "," ? 31,776.88 "," ? 10,826.12 ",25.41
ORD1021,10-06-2024,Mouse,Electronics,West,9, ? 975.00 ," ? 8,775.00 "," ? 7,488.37 "," ? 1,286.63 ",14.66
ORD1022,10-03-2025,Mouse,Electronics,East,5," ? 2,341.00 "," ? 11,705.00 "," ? 7,888.16 "," ? 3,816.84 ",32.61
ORD1023,24-12-2024,Mouse,Electronics,Central,4," ? 1,021.00 "," ? 4,084.00 "," ? 3,487.13 ", ? 596.87 ,14.61
ORD1024,04-01-2024,Mouse,Accessories,South,14," ? 4,843.00 "," ? 67,802.00 "," ? 48,986.50 "," ? 18,815.50 ",27.75
ORD1025,02-06-2025,Mouse,Electronics,Central,7," ? 1,561.00 "," ? 10,927.00 "," ? 7,716.09 "," ? 3,210.91 ",29.39
ORD1026,01-05-2024,Tablet,Accessories,East,2, ? 948.00 ," ? 1,896.00 "," ? 1,239.28 ", ? 656.72 ,34.64
ORD1027,11-09-2024,Laptop,Electronics,South,17," ? 1,040.00 "," ? 17,680.00 "," ? 11,813.30 "," ? 5,866.70 ",33.18
ORD1028,03-04-2024,Mouse,Accessories,Central,16, ? 684.00 ," ? 10,944.00 "," ? 9,373.52 "," ? 1,570.48 ",14.35
ORD1029,30-03-2024,Keyboard,Accessories,South,3," ? 4,169.00 "," ? 12,507.00 "," ? 8,990.03 "," ? 3,516.97 ",28.12
ORD1030,20-03-2025,Headphones,Accessories,South,3, ? 888.00 ," ? 2,664.00 "," ? 2,234.02 ", ? 429.98 ,16.14
ORD1031,07-10-2023,Mouse,Electronics,West,2, ? 533.00 ," ? 1,066.00 ", ? 711.95 , ? 354.05 ,33.21
ORD1032,26-09-2023,Printer,Accessories,West,5," ? 2,649.00 "," ? 13,245.00 "," ? 9,920.01 "," ? 3,324.99 ",25.10
ORD1033,14-03-2025,Laptop,Electronics,East,13," ? 4,511.00 "," ? 58,643.00 "," ? 43,308.05 "," ? 15,334.95 ",26.15
ORD1034,03-03-2024,Laptop,Accessories,West,11," ? 1,889.00 "," ? 20,779.00 "," ? 13,043.36 "," ? 7,735.64 ",37.23
ORD1035,09-01-2024,Monitor,Electronics,West,12," ? 3,000.00 "," ? 36,000.00 "," ? 26,326.11 "," ? 9,673.89 ",26.87
ORD1036,18-08-2025,Headphones,Electronics,North,13," ? 1,299.00 "," ? 16,887.00 "," ? 12,544.19 "," ? 4,342.81 ",25.72
ORD1037,02-08-2024,Tablet,Accessories,West,11, ? 708.00 ," ? 7,788.00 "," ? 5,727.10 "," ? 2,060.90 ",26.46
ORD1038,02-01-2025,Tablet,Accessories,West,13," ? 3,014.00 "," ? 39,182.00 "," ? 34,460.94 "," ? 4,721.06 ",12.05
ORD1039,04-07-2024,Keyboard,Electronics,Central,3," ? 4,977.00 "," ? 14,931.00 "," ? 9,477.26 "," ? 5,453.74 ",36.53
ORD1040,14-03-2024,Monitor,Electronics,West,6," ? 1,901.00 "," ? 11,406.00 "," ? 9,365.93 "," ? 2,040.07 ",17.89
ORD1041,22-07-2024,Monitor,Accessories,South,3," ? 3,313.00 "," ? 9,939.00 "," ? 6,973.27 "," ? 2,965.73 ",29.84
ORD1042,18-12-2024,Laptop,Electronics,South,2," ? 2,421.00 "," ? 4,842.00 "," ? 3,458.00 "," ? 1,384.00 ",28.58
ORD1043,13-09-2024,Tablet,Accessories,West,1," ? 4,210.00 "," ? 4,210.00 "," ? 3,588.23 ", ? 621.77 ,14.77
ORD1044,02-11-2023,Printer,Accessories,East,1," ? 3,610.00 "," ? 3,610.00 "," ? 2,713.27 ", ? 896.73 ,24.84
ORD1045,28-03-2024,Printer,Accessories,Central,3," ? 2,147.00 "," ? 6,441.00 "," ? 4,780.90 "," ? 1,660.10 ",25.77
ORD1046,14-07-2025,Mouse,Electronics,West,15," ? 1,149.00 "," ? 17,235.00 "," ? 13,885.11 "," ? 3,349.89 ",19.44
ORD1047,26-11-2023,Mouse,Accessories,Central,13," ? 1,746.00 "," ? 22,698.00 "," ? 18,823.30 "," ? 3,874.70 ",17.07
ORD1048,07-01-2024,Printer,Accessories,South,13," ? 1,311.00 "," ? 17,043.00 "," ? 11,531.88 "," ? 5,511.12 ",32.34
ORD1049,08-08-2025,Mouse,Accessories,South,16," ? 2,618.00 "," ? 41,888.00 "," ? 26,483.33 "," ? 15,404.67 ",36.78
ORD1050,11-06-2024,Monitor,Accessories,Central,9," ? 3,865.00 "," ? 34,785.00 "," ? 27,856.96 "," ? 6,928.04 ",19.92
ORD1051,16-05-2025,Monitor,Electronics,East,19," ? 1,732.00 "," ? 32,908.00 "," ? 25,958.76 "," ? 6,949.24 ",21.12
ORD1052,02-08-2024,Monitor,Accessories,West,1," ? 1,026.00 "," ? 1,026.00 ", ? 850.81 , ? 175.19 ,17.08
ORD1053,11-11-2023,Tablet,Electronics,Central,17," ? 2,965.00 "," ? 50,405.00 "," ? 38,741.02 "," ? 11,663.98 ",23.14
ORD1054,01-06-2025,Headphones,Electronics,North,2," ? 3,489.00 "," ? 6,978.00 "," ? 5,307.40 "," ? 1,670.60 ",23.94
ORD1055,22-08-2024,Printer,Electronics,Central,2," ? 4,705.00 "," ? 9,410.00 "," ? 7,757.94 "," ? 1,652.06 ",17.56
ORD1056,23-02-2024,Keyboard,Electronics,Central,8," ? 1,751.00 "," ? 14,008.00 "," ? 11,282.24 "," ? 2,725.76 ",19.46
ORD1057,29-07-2025,Monitor,Accessories,North,5," ? 1,566.00 "," ? 7,830.00 "," ? 4,816.56 "," ? 3,013.44 ",38.49
ORD1058,01-01-2024,Printer,Electronics,North,7," ? 3,877.00 "," ? 27,139.00 "," ? 19,873.18 "," ? 7,265.82 ",26.77
ORD1059,28-08-2025,Mouse,Accessories,East,12," ? 1,310.00 "," ? 15,720.00 "," ? 10,872.27 "," ? 4,847.73 ",30.84
ORD1060,21-11-2023,Printer,Accessories,North,7, ? 625.00 ," ? 4,375.00 "," ? 2,891.11 "," ? 1,483.89 ",33.92
ORD1061,26-09-2023,Headphones,Electronics,South,1," ? 1,961.00 "," ? 1,961.00 "," ? 1,573.13 ", ? 387.87 ,19.78
ORD1062,11-11-2024,Headphones,Accessories,North,2," ? 2,636.00 "," ? 5,272.00 "," ? 4,353.69 ", ? 918.31 ,17.42
ORD1063,10-10-2024,Keyboard,Electronics,West,4," ? 3,083.00 "," ? 12,332.00 "," ? 10,449.24 "," ? 1,882.76 ",15.27
ORD1064,04-12-2024,Keyboard,Accessories,North,18," ? 3,857.00 "," ? 69,426.00 "," ? 61,348.05 "," ? 8,077.95 ",11.64
ORD1065,20-06-2024,Keyboard,Electronics,Central,1," ? 3,582.00 "," ? 3,582.00 "," ? 2,541.74 "," ? 1,040.26 ",29.04
ORD1066,15-02-2024,Laptop,Accessories,West,2," ? 2,895.00 "," ? 5,790.00 "," ? 4,709.63 "," ? 1,080.37 ",18.66
ORD1067,30-07-2025,Mouse,Accessories,West,17," ? 1,797.00 "," ? 30,549.00 "," ? 24,123.77 "," ? 6,425.23 ",21.03
ORD1068,22-12-2023,Tablet,Electronics,Central,14," ? 2,543.00 "," ? 35,602.00 "," ? 28,991.35 "," ? 6,610.65 ",18.57
ORD1069,05-03-2024,Monitor,Accessories,Central,3," ? 1,177.00 "," ? 3,531.00 "," ? 2,293.69 "," ? 1,237.31 ",35.04
ORD1070,11-01-2024,Printer,Accessories,South,4," ? 1,789.00 "," ? 7,156.00 "," ? 6,320.00 ", ? 836.00 ,11.68
ORD1071,17-09-2024,Keyboard,Electronics,East,11," ? 4,082.00 "," ? 44,902.00 "," ? 33,137.07 "," ? 11,764.93 ",26.20
ORD1072,07-10-2024,Headphones,Electronics,Central,15," ? 2,109.00 "," ? 31,635.00 "," ? 20,162.17 "," ? 11,472.83 ",36.27
ORD1073,10-08-2025,Headphones,Electronics,East,3," ? 1,545.00 "," ? 4,635.00 "," ? 3,735.98 ", ? 899.02 ,19.40
ORD1074,28-07-2025,Monitor,Accessories,North,17," ? 4,152.00 "," ? 70,584.00 "," ? 52,935.67 "," ? 17,648.33 ",25.00
ORD1075,14-08-2025,Printer,Accessories,Central,8," ? 2,975.00 "," ? 23,800.00 "," ? 20,485.96 "," ? 3,314.04 ",13.92
ORD1076,17-01-2025,Laptop,Electronics,Central,9," ? 4,881.00 "," ? 43,929.00 "," ? 29,220.11 "," ? 14,708.89 ",33.48
ORD1077,01-06-2024,Printer,Accessories,West,13," ? 1,281.00 "," ? 16,653.00 "," ? 14,969.44 "," ? 1,683.56 ",10.11
ORD1078,27-03-2025,Printer,Accessories,North,13," ? 1,387.00 "," ? 18,031.00 "," ? 11,685.79 "," ? 6,345.21 ",35.19
ORD1079,20-05-2024,Monitor,Accessories,South,14," ? 1,631.00 "," ? 22,834.00 "," ? 16,992.74 "," ? 5,841.26 ",25.58
ORD1080,28-02-2025,Printer,Accessories,North,3," ? 1,178.00 "," ? 3,534.00 "," ? 3,120.18 ", ? 413.82 ,11.71
ORD1081,06-03-2024,Tablet,Electronics,West,9," ? 1,922.00 "," ? 17,298.00 "," ? 14,736.78 "," ? 2,561.22 ",14.81
ORD1082,04-02-2025,Headphones,Electronics,North,8," ? 4,794.00 "," ? 38,352.00 "," ? 25,946.24 "," ? 12,405.76 ",32.35
ORD1083,28-08-2025,Printer,Electronics,West,2," ? 1,191.00 "," ? 2,382.00 "," ? 1,919.49 ", ? 462.51 ,19.42
ORD1084,07-12-2023,Keyboard,Accessories,East,5, ? 910.00 ," ? 4,550.00 "," ? 3,579.25 ", ? 970.75 ,21.34
ORD1085,13-07-2024,Monitor,Accessories,Central,18," ? 3,216.00 "," ? 57,888.00 "," ? 40,506.03 "," ? 17,381.97 ",30.03
ORD1086,13-12-2023,Keyboard,Accessories,East,12," ? 4,765.00 "," ? 57,180.00 "," ? 39,230.74 "," ? 17,949.26 ",31.39
ORD1087,14-01-2025,Tablet,Accessories,North,5," ? 1,467.00 "," ? 7,335.00 "," ? 5,740.65 "," ? 1,594.35 ",21.74
ORD1088,17-04-2025,Mouse,Electronics,East,7," ? 2,956.00 "," ? 20,692.00 "," ? 18,525.02 "," ? 2,166.98 ",10.47
ORD1089,01-03-2025,Printer,Electronics,East,17," ? 3,476.00 "," ? 59,092.00 "," ? 44,874.35 "," ? 14,217.65 ",24.06
ORD1090,31-07-2024,Printer,Electronics,South,7," ? 3,598.00 "," ? 25,186.00 "," ? 20,506.74 "," ? 4,679.26 ",18.58
ORD1091,16-06-2025,Keyboard,Electronics,Central,3," ? 4,292.00 "," ? 12,876.00 "," ? 8,478.32 "," ? 4,397.68 ",34.15
ORD1092,03-04-2024,Laptop,Accessories,South,7," ? 2,268.00 "," ? 15,876.00 "," ? 12,994.94 "," ? 2,881.06 ",18.15
ORD1093,05-03-2024,Printer,Electronics,West,2, ? 648.00 ," ? 1,296.00 ", ? 960.90 , ? 335.10 ,25.86
ORD1094,25-07-2024,Monitor,Electronics,East,7," ? 1,411.00 "," ? 9,877.00 "," ? 7,054.70 "," ? 2,822.30 ",28.57
ORD1095,09-07-2025,Monitor,Accessories,Central,17," ? 1,259.00 "," ? 21,403.00 "," ? 16,007.76 "," ? 5,395.24 ",25.21
ORD1096,29-05-2025,Headphones,Accessories,North,15," ? 1,633.00 "," ? 24,495.00 "," ? 18,920.36 "," ? 5,574.64 ",22.76
ORD1097,15-11-2024,Headphones,Electronics,East,18," ? 3,178.00 "," ? 57,204.00 "," ? 36,473.10 "," ? 20,730.90 ",36.24
ORD1098,02-02-2025,Mouse,Electronics,East,17," ? 4,342.00 "," ? 73,814.00 "," ? 64,955.84 "," ? 8,858.16 ",12.00
ORD1099,22-07-2025,Tablet,Electronics,North,15," ? 1,000.00 "," ? 15,000.00 "," ? 11,539.32 "," ? 3,460.68 ",23.07
ORD1100,27-07-2025,Headphones,Electronics,West,12," ? 3,266.00 "," ? 39,192.00 "," ? 28,665.83 "," ? 10,526.17 ",26.86
ORD1101,18-08-2025,Laptop,Electronics,South,19," ? 3,855.00 "," ? 73,245.00 "," ? 51,160.79 "," ? 22,084.21 ",30.15
ORD1102,30-08-2024,Tablet,Electronics,West,9," ? 3,560.00 "," ? 32,040.00 "," ? 26,748.46 "," ? 5,291.54 ",16.52
ORD1103,10-12-2024,Laptop,Electronics,North,15," ? 1,308.00 "," ? 19,620.00 "," ? 13,151.03 "," ? 6,468.97 ",32.97
ORD1104,24-04-2025,Tablet,Accessories,North,1," ? 2,343.00 "," ? 2,343.00 "," ? 2,091.29 ", ? 251.71 ,10.74
ORD1105,15-10-2023,Printer,Accessories,South,10," ? 3,392.00 "," ? 33,920.00 "," ? 21,626.65 "," ? 12,293.35 ",36.24
ORD1106,15-07-2024,Keyboard,Electronics,Central,2, ? 748.00 ," ? 1,496.00 "," ? 1,000.07 ", ? 495.93 ,33.15
ORD1107,12-10-2023,Printer,Accessories,South,1," ? 3,421.00 "," ? 3,421.00 "," ? 3,040.21 ", ? 380.79 ,11.13
ORD1108,14-10-2023,Printer,Accessories,Central,13, ? 650.00 ," ? 8,450.00 "," ? 5,974.12 "," ? 2,475.88 ",29.30
ORD1109,21-09-2023,Mouse,Electronics,South,1," ? 3,313.00 "," ? 3,313.00 "," ? 2,907.80 ", ? 405.20 ,12.23
ORD1110,13-07-2025,Laptop,Accessories,North,15," ? 1,860.00 "," ? 27,900.00 "," ? 24,457.21 "," ? 3,442.79 ",12.34
ORD1111,19-07-2025,Tablet,Electronics,East,5, ? 583.00 ," ? 2,915.00 "," ? 1,964.01 ", ? 950.99 ,32.62
ORD1112,01-04-2025,Mouse,Accessories,Central,4," ? 2,795.00 "," ? 11,180.00 "," ? 8,556.01 "," ? 2,623.99 ",23.47
ORD1113,13-06-2025,Printer,Electronics,West,2," ? 1,056.00 "," ? 2,112.00 "," ? 1,835.98 ", ? 276.02 ,13.07
ORD1114,24-01-2024,Printer,Accessories,South,18," ? 2,818.00 "," ? 50,724.00 "," ? 44,340.46 "," ? 6,383.54 ",12.58
ORD1115,04-07-2025,Laptop,Electronics,South,18," ? 4,531.00 "," ? 81,558.00 "," ? 62,472.78 "," ? 19,085.22 ",23.40
ORD1116,01-12-2023,Headphones,Electronics,South,15," ? 2,726.00 "," ? 40,890.00 "," ? 27,972.57 "," ? 12,917.43 ",31.59
ORD1117,28-11-2024,Monitor,Electronics,North,1," ? 3,484.00 "," ? 3,484.00 "," ? 2,628.67 ", ? 855.33 ,24.55
ORD1118,29-12-2024,Monitor,Accessories,South,1," ? 3,417.00 "," ? 3,417.00 "," ? 2,515.28 ", ? 901.72 ,26.39
ORD1119,08-12-2023,Laptop,Electronics,West,19," ? 2,046.00 "," ? 38,874.00 "," ? 28,157.03 "," ? 10,716.97 ",27.57
ORD1120,16-03-2024,Laptop,Electronics,Central,7," ? 3,740.00 "," ? 26,180.00 "," ? 18,439.15 "," ? 7,740.85 ",29.57
ORD1121,03-01-2024,Headphones,Accessories,West,5, ? 635.00 ," ? 3,175.00 "," ? 2,547.96 ", ? 627.04 ,19.75
ORD1122,25-07-2025,Tablet,Electronics,South,15," ? 2,905.00 "," ? 43,575.00 "," ? 32,606.07 "," ? 10,968.93 ",25.17
ORD1123,07-09-2024,Headphones,Accessories,West,9," ? 1,718.00 "," ? 15,462.00 "," ? 11,275.29 "," ? 4,186.71 ",27.08
ORD1124,12-08-2024,Mouse,Accessories,East,14," ? 3,785.00 "," ? 52,990.00 "," ? 37,289.97 "," ? 15,700.03 ",29.63
ORD1125,19-01-2024,Mouse,Electronics,East,8," ? 1,499.00 "," ? 11,992.00 "," ? 10,286.56 "," ? 1,705.44 ",14.22
ORD1126,20-02-2024,Keyboard,Electronics,North,12," ? 4,868.00 "," ? 58,416.00 "," ? 47,605.59 "," ? 10,810.41 ",18.51
ORD1127,11-12-2024,Printer,Accessories,West,15," ? 4,089.00 "," ? 61,335.00 "," ? 45,577.69 "," ? 15,757.31 ",25.69
ORD1128,25-02-2024,Laptop,Accessories,East,16," ? 2,049.00 "," ? 32,784.00 "," ? 27,564.48 "," ? 5,219.52 ",15.92
ORD1129,27-07-2024,Keyboard,Electronics,West,18," ? 3,212.00 "," ? 57,816.00 "," ? 42,100.86 "," ? 15,715.14 ",27.18
ORD1130,14-02-2025,Monitor,Accessories,Central,9," ? 1,155.00 "," ? 10,395.00 "," ? 7,752.56 "," ? 2,642.44 ",25.42
ORD1131,22-06-2024,Laptop,Electronics,East,10," ? 2,106.00 "," ? 21,060.00 "," ? 17,718.09 "," ? 3,341.91 ",15.87
ORD1132,01-05-2024,Laptop,Electronics,East,7," ? 1,934.00 "," ? 13,538.00 "," ? 9,113.06 "," ? 4,424.94 ",32.69
ORD1133,03-09-2025,Headphones,Electronics,South,5," ? 2,020.00 "," ? 10,100.00 "," ? 8,184.81 "," ? 1,915.19 ",18.96
ORD1134,26-03-2024,Monitor,Electronics,East,11," ? 2,871.00 "," ? 31,581.00 "," ? 26,162.69 "," ? 5,418.31 ",17.16
ORD1135,20-07-2024,Monitor,Accessories,East,16," ? 1,100.00 "," ? 17,600.00 "," ? 12,943.23 "," ? 4,656.77 ",26.46
ORD1136,20-07-2024,Keyboard,Accessories,East,6, ? 557.00 ," ? 3,342.00 "," ? 2,506.21 ", ? 835.79 ,25.01
ORD1137,29-11-2023,Monitor,Electronics,East,10," ? 1,300.00 "," ? 13,000.00 "," ? 8,197.22 "," ? 4,802.78 ",36.94
ORD1138,20-04-2025,Mouse,Electronics,South,7," ? 2,693.00 "," ? 18,851.00 "," ? 16,593.12 "," ? 2,257.88 ",11.98
ORD1139,14-11-2024,Laptop,Electronics,East,8," ? 3,047.00 "," ? 24,376.00 "," ? 17,335.33 "," ? 7,040.67 ",28.88
ORD1140,27-12-2023,Tablet,Electronics,North,8," ? 3,126.00 "," ? 25,008.00 "," ? 15,164.70 "," ? 9,843.30 ",39.36
ORD1141,10-06-2025,Laptop,Accessories,North,16," ? 3,745.00 "," ? 59,920.00 "," ? 46,062.64 "," ? 13,857.36 ",23.13
ORD1142,17-06-2025,Monitor,Electronics,West,11," ? 3,210.00 "," ? 35,310.00 "," ? 28,223.75 "," ? 7,086.25 ",20.07
ORD1143,21-04-2025,Monitor,Accessories,West,6," ? 4,108.00 "," ? 24,648.00 "," ? 18,419.27 "," ? 6,228.73 ",25.27
ORD1144,16-12-2024,Laptop,Accessories,North,12, ? 542.00 ," ? 6,504.00 "," ? 4,796.22 "," ? 1,707.78 ",26.26
ORD1145,13-04-2024,Printer,Accessories,West,8," ? 4,355.00 "," ? 34,840.00 "," ? 20,926.96 "," ? 13,913.04 ",39.93
ORD1146,04-11-2023,Keyboard,Electronics,East,12," ? 4,773.00 "," ? 57,276.00 "," ? 45,738.70 "," ? 11,537.30 ",20.14
ORD1147,13-08-2024,Keyboard,Electronics,East,7, ? 508.00 ," ? 3,556.00 "," ? 3,113.90 ", ? 442.10 ,12.43
ORD1148,18-07-2024,Tablet,Accessories,West,7," ? 3,670.00 "," ? 25,690.00 "," ? 22,693.40 "," ? 2,996.60 ",11.66
ORD1149,22-11-2024,Laptop,Accessories,West,15, ? 693.00 ," ? 10,395.00 "," ? 6,583.48 "," ? 3,811.52 ",36.67
ORD1150,22-11-2023,Laptop,Accessories,East,15," ? 4,131.00 "," ? 61,965.00 "," ? 43,379.99 "," ? 18,585.01 ",29.99
ORD1151,24-08-2024,Mouse,Accessories,Central,14," ? 1,659.00 "," ? 23,226.00 "," ? 20,869.82 "," ? 2,356.18 ",10.14
ORD1152,18-05-2025,Monitor,Accessories,East,7," ? 3,018.00 "," ? 21,126.00 "," ? 14,022.05 "," ? 7,103.95 ",33.63
ORD1153,20-12-2023,Headphones,Electronics,East,18," ? 3,105.00 "," ? 55,890.00 "," ? 40,694.11 "," ? 15,195.89 ",27.19
ORD1154,25-12-2024,Headphones,Electronics,East,19," ? 4,327.00 "," ? 82,213.00 "," ? 68,890.26 "," ? 13,322.74 ",16.21
ORD1155,10-08-2024,Printer,Accessories,Central,3," ? 4,636.00 "," ? 13,908.00 "," ? 9,693.23 "," ? 4,214.77 ",30.30
ORD1156,11-02-2024,Monitor,Electronics,North,15," ? 1,341.00 "," ? 20,115.00 "," ? 17,895.46 "," ? 2,219.54 ",11.03
ORD1157,07-10-2024,Headphones,Accessories,Central,17, ? 819.00 ," ? 13,923.00 "," ? 9,894.09 "," ? 4,028.91 ",28.94
ORD1158,29-04-2024,Mouse,Accessories,North,10, ? 717.00 ," ? 7,170.00 "," ? 6,235.23 ", ? 934.77 ,13.04
ORD1159,31-10-2024,Keyboard,Accessories,North,10," ? 4,366.00 "," ? 43,660.00 "," ? 37,159.08 "," ? 6,500.92 ",14.89
ORD1160,25-12-2024,Printer,Electronics,West,3," ? 2,468.00 "," ? 7,404.00 "," ? 5,411.21 "," ? 1,992.79 ",26.91
ORD1161,14-12-2024,Mouse,Electronics,South,16," ? 3,219.00 "," ? 51,504.00 "," ? 38,069.25 "," ? 13,434.75 ",26.08
ORD1162,19-03-2024,Headphones,Electronics,North,11," ? 2,907.00 "," ? 31,977.00 "," ? 22,041.84 "," ? 9,935.16 ",31.07
ORD1163,23-09-2023,Keyboard,Electronics,South,5," ? 1,866.00 "," ? 9,330.00 "," ? 6,345.40 "," ? 2,984.60 ",31.99
ORD1164,12-03-2025,Printer,Accessories,North,4," ? 3,514.00 "," ? 14,056.00 "," ? 8,724.21 "," ? 5,331.79 ",37.93
ORD1165,07-09-2024,Keyboard,Electronics,Central,7," ? 4,444.00 "," ? 31,108.00 "," ? 25,187.92 "," ? 5,920.08 ",19.03
ORD1166,27-04-2024,Tablet,Electronics,East,16, ? 724.00 ," ? 11,584.00 "," ? 6,997.35 "," ? 4,586.65 ",39.59
ORD1167,28-02-2024,Tablet,Electronics,Central,7," ? 3,474.00 "," ? 24,318.00 "," ? 16,880.71 "," ? 7,437.29 ",30.58
ORD1168,04-03-2024,Monitor,Accessories,South,1, ? 965.00 , ? 965.00 , ? 802.18 , ? 162.82 ,16.87
ORD1169,14-04-2025,Keyboard,Electronics,Central,16," ? 3,150.00 "," ? 50,400.00 "," ? 31,966.55 "," ? 18,433.45 ",36.57
ORD1170,14-11-2024,Mouse,Electronics,East,13," ? 1,668.00 "," ? 21,684.00 "," ? 14,249.17 "," ? 7,434.83 ",34.29
ORD1171,14-04-2025,Laptop,Accessories,West,16," ? 1,244.00 "," ? 19,904.00 "," ? 12,755.69 "," ? 7,148.31 ",35.91
ORD1172,11-05-2025,Headphones,Electronics,South,1," ? 3,530.00 "," ? 3,530.00 "," ? 2,844.14 ", ? 685.86 ,19.43
ORD1173,16-08-2024,Tablet,Accessories,North,8," ? 1,421.00 "," ? 11,368.00 "," ? 7,329.29 "," ? 4,038.71 ",35.53
ORD1174,17-03-2025,Headphones,Accessories,East,15," ? 3,295.00 "," ? 49,425.00 "," ? 39,450.92 "," ? 9,974.08 ",20.18
ORD1175,19-08-2024,Tablet,Accessories,West,17," ? 1,546.00 "," ? 26,282.00 "," ? 19,448.64 "," ? 6,833.36 ",26.00
ORD1176,21-09-2024,Mouse,Electronics,West,2," ? 2,629.00 "," ? 5,258.00 "," ? 3,907.31 "," ? 1,350.69 ",25.69
ORD1177,17-02-2025,Headphones,Accessories,North,7," ? 2,758.00 "," ? 19,306.00 "," ? 12,177.35 "," ? 7,128.65 ",36.92
ORD1178,14-08-2025,Mouse,Accessories,East,11," ? 1,093.00 "," ? 12,023.00 "," ? 10,417.59 "," ? 1,605.41 ",13.35
ORD1179,15-10-2024,Mouse,Electronics,West,3," ? 4,367.00 "," ? 13,101.00 "," ? 9,399.67 "," ? 3,701.33 ",28.25
ORD1180,01-12-2024,Headphones,Electronics,Central,10," ? 3,385.00 "," ? 33,850.00 "," ? 20,679.69 "," ? 13,170.31 ",38.91
ORD1181,09-07-2025,Mouse,Electronics,West,6," ? 4,479.00 "," ? 26,874.00 "," ? 17,099.32 "," ? 9,774.68 ",36.37
ORD1182,27-11-2024,Keyboard,Electronics,Central,2," ? 1,875.00 "," ? 3,750.00 "," ? 3,318.52 ", ? 431.48 ,11.51
ORD1183,14-04-2025,Laptop,Accessories,East,17," ? 4,780.00 "," ? 81,260.00 "," ? 69,659.51 "," ? 11,600.49 ",14.28
ORD1184,24-01-2025,Printer,Accessories,Central,16," ? 1,969.00 "," ? 31,504.00 "," ? 23,774.01 "," ? 7,729.99 ",24.54
ORD1185,28-12-2023,Laptop,Electronics,Central,19," ? 2,378.00 "," ? 45,182.00 "," ? 29,178.67 "," ? 16,003.33 ",35.42
